#complex,groundtruth
#2-variable linear MBA expression
-x-1,~x
7*(y^(x&~z))-7*~(~x|(y&z))-2*~(x|(y|z))-7*~(x|(~y|z))-7*(~x&(y&z))+7*(x&(~y&z))-9*(x&(y&z)),-5*~(~x|(~y|z))-2*(y^~(x|(~y&z)))
1*((x&z)^~(y&~z))-5*(z^(x&y))-3*~(x|(y|z))-1*~(~x|(y|z))+3*~(~x|(~y|z))+4*(~x&(~y&z))+2*(~x&(y&z)),-2*(~(x&~y)&~(x^(y^z)))-5*(x&(~y&z))
-2*(y^~(x|z))-3*((x|~y)&~(y^z))-1*(y^(x&~z))+1*~(x|(~y|z))+2*~(~x|(~y|z))+3*(~x&(y&z))+6*(x&(y&z)),-5*~(x|(y|z))-4*~(~x|(y|z))
-5*(z^~(x&(y&z)))+2*((x&~y)|~(x^(y^z)))+3*~(~x|(y|z))+3*~(~x|(~y|z))-5*(~x&(~y&z))-7*(~x&(y&z))-7*(x&(~y&z)),-3*~(x|(y|z))-5*(z|~(x|~y))
1*(~(x|~y)|~(y^z))-11*~y+11*(~(x|~y)|(x^(y^z)))-12*~(x|(~y|z))-12*(~x&(y&z))+11*(x&(~y&z))-12*(x&(y&z)),-10*~(x|(y|z))+1*~(~x|(y|z))
-11*(x&(y^z))+2*~(x|y)+1*(y^~(x&(y&z)))-2*(z^(x|(y&z)))+1*~(~x|(y|z))+13*~(~x|(~y|z))+10*(x&(~y&z))-1*(x&(y&z)),1*(~x&(~y&z))+3*~(x|(y|z))
2*~(y|z)+3*(z|~(x|~y))+2*(y^(x|(y&z)))-2*~(x|(y|z))-5*~(x|(~y|z))-3*(~x&(y&z))-5*(x&(~y&z))-3*(x&(y&z)),3*(~x&(~y&z))+4*~(~x|(y|z))
1*(~x|(y^z))+1*(y^(~x&(y^z)))-1*~(x|(y|z))+1*~(x|(~y|z))-2*(~x&(~y&z))-2*(~x&(y&z))-1*(x&(~y&z))-1*(x&(y&z)),2*(y&~z)
-1*((x&z)^(x^(y&z)))+3*(z^~(~x&(~y|z)))-2*~(x|(y|z))-5*~(x|(~y|z))-4*~(~x|(~y|z))-5*(~x&(~y&z))-4*(~x&(y&z))-1*(x&(y&z)),4*~(~x|(y|z))-2*~(x&(~y&z))
4*((x&y)^(x^(~y|z)))-3*(z&(x|y))-4*~(x|(y|z))+11*~(x|(~y|z))+11*~(~x|(~y|z))+7*(~x&(~y&z))+10*(~x&(y&z))+14*(x&(~y&z)),11*(~(x|~y)|(y^z))+1*(x&(y&z))
3*(z^(x&~y))-1*((x&y)^(x^(y&z)))+3*(x|~y)-3*~(x|(y|z))-5*~(~x|(y|z))-6*(~x&(~y&z))-2*(x&(~y&z))-5*(x&(y&z)),3*~(~x|(~y|z))+2*(~x&(y&z))
5*~(x^(y|z))+11*~(~x|(y&z))+3*~(y|z)-15*~(x|(y|z))-7*~(x|(~y|z))-21*~(~x|(y|z))-23*~(~x|(~y|z))-16*(x&(~y&z)),-7*(z^~(x&(y&z)))+12*(x&(y&z))
-1*(y^(x&(y^z)))-11*(y^~(~x&(y|z)))+12*~(x|(~y|z))-11*~(~x|(~y|z))-11*(~x&(~y&z))+1*(~x&(y&z))+1*(x&(~y&z))+1*(x&(y&z)),-11*(~y|(x^z))
1*(x^(~y&z))+7*(y^~(~x|(y&z)))+3*(x&(~y|z))-7*~(x|(~y|z))-10*~(~x|(y|z))-1*(~x&(~y&z))-7*(~x&(y&z))-10*(x&(~y&z)),11*(x&(y&z))+1*(x&~z)
5*(~(x^y)&(x^z))-1*~(y&z)+1*~(x|(y|z))+8*~(x|(~y|z))-4*~(~x|(~y|z))-4*(~x&(~y&z))+7*(~x&(y&z))+8*(x&(~y&z)),-1*~(~x|(y|z))+7*(y^(x&(y|z)))
-1*~(x&(y&z))-1*~(x^(y|z))+2*~(~x|(y&z))+1*~(~x&(y&z))-2*~(~x|(y|z))-1*~(~x|(~y|z))+1*(~x&(y&z))-1*(x&(~y&z)),-1*~(x|(y|z))
7*~(x|~y)-1*(x^z)-1*(z&(x|~y))-7*~(x|(~y|z))+1*~(~x|(y|z))-6*(~x&(y&z))+1*(x&(~y&z))+1*(x&(y&z)),-2*(~x&(~y&z))-1*~(~x|(~y|z))
-1*~(x|(y&z))+7*~(x&(y^z))-10*~(x|(y|z))-10*~(x|(~y|z))-11*~(~x|(y|z))-10*(~x&(~y&z))-11*(~x&(y&z))-7*(x&(y&z)),4*(x&(~y&z))-4*~(x&y)
-5*((x|~y)&(x^(y^z)))-1*~(x|(y|z))-4*~(x|(~y|z))+5*~(~x|(y|z))+4*(~x&(~y&z))-4*(~x&(y&z))-3*(x&(~y&z))+2*(x&(y&z)),-1*~x-3*(y^(x&(y^z)))
5*((x|~y)&(y^z))+7*(~x|(y|z))-6*((x^y)&~(x^z))-7*~(x|(y|z))-12*(~x&(~y&z))-7*(~x&(y&z))-6*(x&(~y&z))-7*(x&(y&z)),1*~(x|(~y|z))+12*~(~x|(~y|z))
-2*(y^(x&~z))+2*(~x&(y|z))-5*((y&z)^~(x&(y^z)))+5*~(x|(y|z))+2*~(x|(~y|z))+7*~(~x|(y|z))-3*~(~x|(~y|z))+2*(x&(y&z)),-3*(~(x&~y)&(y^z))
3*(y^~(x|z))+11*(y^~(x|(~y&z)))-6*(z^(x&(~y|z)))-14*~(x|(y|z))+6*~(~x|(y|z))-14*~(~x|(~y|z))+3*(~x&(y&z))-14*(x&(y&z)),-6*(~x&(~y&z))
-7*(y^(x|(~y|z)))+1*(z^~(x&y))-5*~(x|(~y|z))-5*~(~x|(y|z))-11*~(~x|(~y|z))-4*(~x&(~y&z))-4*(x&(~y&z))-1*(x&(y&z)),5*~(x|(y|z))-11*~(y&z)
-1*(z^(~x|(~y|z)))-2*(z|(x&~y))+1*~y+1*~(x|(~y|z))+2*~(~x|(y|z))+1*(~x&(~y&z))+2*(~x&(y&z))+2*(x&(y&z)),-1*(x&(~y&z))
2*(~x&(y^z))+7*((x&y)|(x^(y^z)))+2*~(x|(y|z))-9*~(x|(~y|z))-5*~(~x|(y|z))-7*(~x&(~y&z))+2*(x&(~y&z))-5*(x&(y&z)),7*~(~x|(~y|z))+2*(y^~(x&(y&z)))
4*((x&y)^(x^(y&z)))+2*(z^~(x&(~y&z)))-1*(y^(x|~z))-3*(y^(x&z))-1*~(x|(y|z))+1*~(x|(~y|z))-5*~(~x|(y|z))-2*(x&(~y&z)),4*(x&(y&z))-1*~(~x|(~y|z))
4*(y^(x&(y^z)))-6*~(y|z)+1*(~(x|~y)|(x^(y^z)))-5*~(x|(~y|z))+5*~(~x|(y|z))-1*(~x&(~y&z))-4*(x&(~y&z))-5*(x&(y&z)),-6*~(x|(y|z))+5*(~x&(y&z))
-5*(y^(~x|(~y&z)))-6*(~(x^y)&(x^z))+7*(x&(y^z))+5*~(x|(y|z))-11*~(~x|(y|z))-7*~(~x|(~y|z))-2*(x&(~y&z))-6*(x&(y&z)),-11*(x^(~y&z))
11*((y&z)|(~x&(y|z)))-2*~(x&(~y|z))+5*~(x|(y|z))-9*~(x|(~y|z))+3*~(~x|(y|z))+5*~(~x|(~y|z))-9*(~x&(~y&z))-9*(~x&(y&z)),3*(z^(x|(~y|z)))+11*(x&(y&z))
7*(~(x&y)&~(y^z))+2*~(y^z)-7*(y&(x|~z))-9*~(x|(y|z))+7*~(x|(~y|z))-9*~(~x|(y|z))+7*~(~x|(~y|z))-9*(~x&(y&z)),-5*(x&(y&z))
-1*(y^(x&z))+11*(y|(x&~z))-6*(x&~y)-5*~(~x|(y|z))-10*~(~x|(~y|z))-10*(~x&(y&z))+7*(x&(~y&z))-11*(x&(y&z)),10*~(x|(~y|z))
4*~(~x|(y^z))+1*(z|(x&y))-7*(z|~(x|~y))+7*~(x|(~y|z))-4*~(~x|(y|z))-1*~(~x|(~y|z))+6*(~x&(~y&z))+6*(x&(~y&z)),-6*(~x&(y&z))-2*(x&(y&z))
-1*(~(x&y)&(y^z))-1*~(x|(y|z))-1*~(x|(~y|z))-2*~(~x|(y|z))-2*~(~x|(~y|z))+1*(~x&(~y&z))-2*(~x&(y&z))-2*(x&(y&z)),-2*~(~x&(~y&z))+1*(~y&~(x^z))
2*(z&(x^y))-5*(x&y)+1*((y&~z)|~(~x|(~y&z)))-1*~(x|(~y|z))-1*~(~x|(y|z))+4*~(~x|(~y|z))-2*(~x&(y&z))+4*(x&(y&z)),2*(x&(~y&z))
-7*(y^(~x|(~y&z)))-5*(~y&(x^z))+11*(z^~(~x|(y&z)))+7*~(x|(y|z))-6*~(~x|(y|z))-4*~(~x|(~y|z))+1*(~x&(~y&z))-11*(~x&(y&z)),-7*(x&(~y&z))+4*(x&(y&z))
-2*(~z&~(x^y))+7*(y^~(~x&(y^z)))-2*~(x|(y|z))-7*~(x|(~y|z))-4*~(~x|(y|z))+2*~(~x|(~y|z))-4*(x&(~y&z))+3*(x&(y&z)),3*((x&z)|~(y|z))
11*(y^(x&(y^z)))-2*(x^(y|z))-1*(z|~(x|~y))-8*~(x|(~y|z))+3*(~x&(~y&z))-8*(~x&(y&z))-10*(x&(~y&z))-10*(x&(y&z)),-2*~(~x|(y|z))
-6*(y|(x&z))+11*(z&(x|y))-1*(z^(x&y))+6*~(x|(~y|z))+1*(~x&(~y&z))-4*(~x&(y&z))-4*(x&(~y&z))-5*(x&(y&z)),-7*~(~x|(~y|z))
2*(y|~(x^z))-1*(~x&(~y|z))+2*~(x^(y|z))-3*~(x|(y|z))-2*~(x|(~y|z))+1*(~x&(~y&z))-4*(x&(~y&z))-4*(x&(y&z)),4*~(~x|(~y|z))+1*(~x&(y&z))
5*(y^(~x|(y&z)))-1*~(x&~y)-7*(~(x&~y)&(x^(y^z)))-11*~(x|(y|z))+1*~(x|(~y|z))-4*~(~x|(~y|z))-4*(~x&(~y&z))+8*(x&(y&z)),-7*~x+6*(~x&(y&z))
1*(~x&(~y|z))-5*(y^~(~x&(y^z)))-2*(z|(x^y))+7*~(x|(~y|z))+7*~(~x|(y|z))+1*(~x&(y&z))+7*(x&(~y&z))+2*(x&(y&z)),-4*~(x|(y|z))-1*(~x&(~y&z))
1*((x&z)^~(y&~z))+11*~(x|(y^z))+11*(~y&~(x^z))-1*((x^y)|(x^z))-23*~(x|(y|z))+1*~(x|(~y|z))+1*~(~x|(~y|z))-11*(~x&(y&z)),10*(x&(~y&z))
-5*(z^(~x|(~y&z)))+1*~(x&(y^z))+4*~(x|(y|z))+2*~(x|(~y|z))-3*~(~x|(y|z))-3*(~x&(~y&z))-1*(~x&(y&z))+2*(x&(y&z)),-2*(x^(y^z))
1*(~x|(y|z))+3*(y&(x|z))+5*~(x|(y|z))+5*~(x|(~y|z))+5*(~x&(~y&z))-4*(~x&(y&z))+5*(x&(~y&z))-4*(x&(y&z)),-2*~(~x|(~y|z))+6*(~(x|y)|(y^z))
-1*(~(x|~y)|(y^z))-7*((x&y)|(y^z))+13*~(x|(~y|z))+8*~(~x|(~y|z))+8*(~x&(~y&z))+1*(~x&(y&z))+8*(x&(~y&z))+12*(x&(y&z)),5*(y&~(x^z))
-1*(x^(~y&z))-1*(z^(x|y))+1*(y|~(x|~z))-5*(x^(y&z))+7*~(~x|(y|z))+1*(~x&(~y&z))+4*(~x&(y&z))+5*(x&(~y&z)),-6*~(~x|(~y|z))
11*(z^(x&(~y|z)))-5*(z&(x^y))+2*(y^~(x|z))-2*~(x|(y|z))-11*~(~x|(y|z))-11*(~x&(~y&z))+5*(x&(~y&z))-2*(x&(y&z)),8*(~x&(y&z))+2*~(~x|(~y|z))
1*(y^~(~x|(y&z)))+1*(z^(x|(y|z)))-5*~(x|(y^z))-1*~(~x|(~y|z))+2*(~x&(~y&z))+6*(~x&(y&z))+1*(x&(~y&z))-1*(x&(y&z)),2*(y^(x|(~y&z)))-5*~(x|(y|z))
1*((y&~z)|~(~x|(~y&z)))-2*((x|~y)&~(x^(y^z)))+9*~(x|(y|z))+6*~(x|(~y|z))+6*~(~x|(y|z))+1*~(~x|(~y|z))+7*(~x&(y&z))+6*(x&(y&z)),7*((x^y)|~(x^z))-9*(x&(~y&z))
-6*(~(x^y)&(x^z))+1*(z&~(x&~y))-5*(z^~(x|~y))+5*~(x|(~y|z))+6*~(~x|(~y|z))-1*(~x&(y&z))+5*(x&(~y&z))+4*(x&(y&z)),-10*(~x&(~y&z))
1*(y^(~x&(y|z)))-6*((x|y)&(y^z))-11*(x^(~y&z))+13*~(x|(~y|z))+23*~(~x|(~y|z))+17*(~x&(~y&z))+13*(x&(~y&z))+17*(x&(y&z)),7*((x&y)|(y^z))-11*~(~x|(y|z))
11*(z&~(x&y))+1*(z|~(x|~y))-1*~(x|(~y|z))-2*~(~x|(y|z))-2*~(~x|(~y|z))-12*(~x&(~y&z))-14*(~x&(y&z))-12*(x&(~y&z)),1*(x&(y&z))-2*(z^(x|(~y&z)))
-2*~(x|~y)+5*(y^~(~x&(y&z)))-3*~(x|(y|z))-5*~(~x|(y|z))+2*~(~x|(~y|z))-3*(~x&(~y&z))-1*(~x&(y&z))-3*(x&(~y&z)),2*(~x|(y^z))-4*~(x|(~y|z))
1*(z^(~x|(y|z)))-3*(y|(x&z))-1*~(x|(y|z))+7*~(~x|(y|z))+9*~(~x|(~y|z))+10*(~x&(y&z))+3*(x&(~y&z))+3*(x&(y&z)),-9*~(x|(~y|z))+7*(y^~(~x|(y^z)))
5*((x|y)&~(y^z))-11*(x&~z)+6*~(~x|(y|z))+11*~(~x|(~y|z))+5*(~x&(~y&z))-5*(~x&(y&z))+5*(x&(~y&z))-5*(x&(y&z)),5*~(y|~z)
11*(x|(~y|z))+1*(y^(~x&(y|z)))-11*(~(x|y)|(y^z))+11*~(x|(~y|z))-11*~(~x|(y|z))-1*(~x&(~y&z))-11*(~x&(y&z))-12*(x&(y&z)),1*~(~x|(~y|z))
-1*((y&~z)|~(~x|(~y&z)))-5*((y&z)|(x&(y|z)))-6*(y^(x&~z))+7*~(~x|(y|z))+6*~(~x|(~y|z))+11*(~x&(y&z))+5*(x&(~y&z))+12*(x&(y&z)),-7*~(x|(~y|z))
-7*(x^z)+7*(z^(~x&(~y|z)))+3*~(x|(~y|z))+7*~(~x|(y|z))+10*~(~x|(~y|z))+7*(~x&(~y&z))+7*(~x&(y&z))-7*(x&(y&z)),-4*(y&~z)+7*(z^~(x&~y))
1*~(y|~z)+5*~(x|~y)+3*(y^(~x&(y^z)))-5*~(x|(~y|z))-3*~(~x|(~y|z))-8*(~x&(y&z))-1*(x&(~y&z))-3*(x&(y&z)),4*(~x&(~y&z))
2*(z^~(~x|(~y&z)))-1*(y^(x|(~y|z)))-6*(~(x&y)&(x^(y^z)))+7*~(x|(~y|z))+5*~(~x|(y|z))-2*~(~x|(~y|z))-2*(~x&(y&z))-1*(x&(~y&z)),-5*(~x&(~y&z))-1*~(x|(y|z))
7*~(x^(y&z))+1*(z^(x|(~y&z)))-7*~(x|(y|z))-7*~(x|(~y|z))-3*~(~x|(y|z))-3*~(~x|(~y|z))-9*(~x&(~y&z))-9*(x&(y&z)),-2*(x^(~y&z))+1*(~x&(y&z))
11*(z^~(~x&(y|z)))-1*(z^(x&(y|z)))-10*~(x|(y|z))-11*~(~x|(y|z))-10*(~x&(~y&z))-10*(~x&(y&z))+1*(x&(~y&z))+1*(x&(y&z)),1*(z^(~x&(~y|z)))+10*~(~x|(~y|z))
-2*~(x|z)-2*((x&y)|(y^z))+4*(z^(~x|(y&z)))+2*~(x|(~y|z))+2*~(~x|(~y|z))+4*(~x&(~y&z))-2*(x&(~y&z))+2*(x&(y&z)),-2*~(~x|(y|z))+2*((y&z)^~(x&(y^z)))
11*((x&~y)|~(x^(y^z)))-1*((x&~y)|~(y^z))+4*~(~x|(~y&z))-11*~(x|(y|z))-14*~(~x|(y|z))-15*~(~x|(~y|z))-11*(~x&(y&z))-10*(x&(~y&z)),3*(x&(y&z))-1*~(x|(y^z))
4*((x^y)&~(x^z))+1*(z&(x^y))-2*(z^(~x|(~y&z)))+2*(y^~(~x&(y&z)))-2*(~x&(~y&z))-3*(~x&(y&z))-7*(x&(~y&z))+2*(x&(y&z)),2*~(~x|(y|z))+2*~(x|(~y|z))
-2*(~(x^y)|~(x^z))+7*((x|~y)&~(x^(y^z)))+11*(x&y)+1*~(x|(~y|z))-16*~(~x|(~y|z))+2*(~x&(~y&z))-6*(x&(~y&z))-9*(x&(y&z)),-1*((x^y)&~(x^z))+5*~(x|(y|z))
1*(y^~(x|~z))+4*(x^(y^z))-7*(z^(~x|(y&z)))-5*~(x|(~y|z))-11*~(~x|(y|z))-1*~(~x|(~y|z))-5*(~x&(~y&z))-12*(x&(y&z)),-7*((x^y)|~(x^z))+7*(~x&(y&z))
1*((x&~y)|~(y^z))-3*(y^~(~x&(~y&z)))-2*(y^~(x|(y&z)))+4*~(x|(y|z))+2*~(~x|(~y|z))+2*(~x&(~y&z))+2*(x&(~y&z))+1*(x&(y&z)),-1*(~x&(y&z))-2*~(~x|(y|z))
11*((x&~y)|(x^(y^z)))+3*((x^y)&~(x^z))+5*(~(x|y)|(y^z))-5*~(x|(y|z))-19*~(x|(~y|z))-5*~(~x|(~y|z))-16*(~x&(~y&z))-19*(x&(~y&z)),11*~(~x|(y|z))+11*(x&(y&z))
1*~(x&~z)+2*((x|y)&(y^z))-3*~(x|(~y|z))-3*~(~x|(~y|z))-2*(~x&(~y&z))-1*(~x&(y&z))-3*(x&(~y&z))-2*(x&(y&z)),2*~(x|(y|z))-1*~(x^y)
-1*~(x&z)+11*(x^y)-10*~(x|(~y|z))-10*~(~x|(y|z))+1*~(~x|(~y|z))+12*(~x&(~y&z))+1*(~x&(y&z))-11*(x&(~y&z)),-12*~(x|(y|z))+11*(~x&(~y|z))
-3*(x&(y^z))-5*(~(x|y)|(y^z))-7*~(x^(y|z))+12*~(x|(y|z))+5*~(x|(~y|z))+15*~(~x|(~y|z))+15*(x&(~y&z))+7*(x&(y&z)),-5*(~x&(~y&z))
-1*~(x^z)+2*(~(x^y)|~(x^z))-1*~(x|(y|z))-1*~(x|(~y|z))+5*~(~x|(~y|z))+5*(~x&(~y&z))-1*(x&(~y&z))-1*(x&(y&z)),-7*(~x&(y&z))+7*(z^(x&(y|z)))
-6*~(x&~y)-2*(~(x&~y)&~(x^(y^z)))+7*~(x|(y|z))+6*~(x|(~y|z))+6*(~x&(~y&z))+8*(~x&(y&z))-1*(x&(~y&z))+6*(x&(y&z)),-1*((x|~y)&~(x^(y^z)))-7*~(~x|(~y|z))
-7*~(x&~y)-1*(y^~(~x|(y&z)))+6*~(x|(y|z))+6*~(~x|(~y|z))+6*(~x&(~y&z))+8*(~x&(y&z))+1*(x&(~y&z))+7*(x&(y&z)),-8*~(x|(~y|z))-1*(y^~(x&(y|z)))
1*(z^(x&(y|z)))-2*(z^(x&(~y|z)))-7*(~z&(x^y))-2*~(y|z)+7*~(x|(~y|z))+11*~(~x|(y|z))+1*(~x&(~y&z))+1*(~x&(y&z)),-2*~(x|(y|z))+1*~(~x|(~y|z))
-11*(~(x&y)&~(y^z))-3*(z^(x&(y|z)))+16*~(x|(y|z))+5*~(x|(~y|z))+16*~(~x|(y|z))+3*~(~x|(~y|z))+3*(~x&(~y&z))+5*(x&(~y&z)),-19*(~x&(y&z))+5*(y^~(~x&(y|z)))
-3*(z|~(x|~y))+4*~(x|(y|z))+1*~(x|(~y|z))+4*~(~x|(~y|z))+3*(~x&(~y&z))+7*(~x&(y&z))+1*(x&(~y&z))+9*(x&(y&z)),6*(y^~(x|z))-2*(~(x|~y)|~(x^(y^z)))
-1*(y&(x^z))-2*~(x&(~y|z))+2*~(x|(y|z))-8*~(~x|(~y|z))-9*(~x&(~y&z))+3*(~x&(y&z))-11*(x&(~y&z))-11*(x&(y&z)),-2*~(x|(~y|z))-11*((x&y)|~(y|~z))
-11*((x&y)|(x^(y^z)))+3*((x|~y)&(x^(y^z)))-1*~(x|(y|z))+10*~(x|(~y|z))+11*~(~x|(~y|z))+8*(~x&(~y&z))-1*(x&(~y&z))+7*(x&(y&z)),-1*~(x^z)-8*~(~x|(y|z))
7*(z^(~x&(y|z)))+1*((y&~z)^(~x|(y^z)))-1*~(x|(y|z))-8*~(x|(~y|z))-1*~(~x|(~y|z))-1*(~x&(y&z))-8*(x&(~y&z))-7*(x&(y&z)),-1*(~(x&~y)&(y^z))+2*(~x&(~y&z))
5*(~(x^y)&(x^z))-1*z-1*(~(x^y)|(x^z))+1*~(x|(y|z))+1*~(~x|(y|z))-4*~(~x|(~y|z))+1*(x&(~y&z))+2*(x&(y&z)),3*(~x&(~y&z))-2*(~x&(y&z))
-6*((x^y)&(x^z))+1*((x|~y)&~(x^(y^z)))-2*~y+11*((y&~z)^(~x|(y^z)))-10*~(x|(y|z))-1*~(~x|(~y|z))-5*(~x&(y&z))-10*(x&(~y&z)),-8*~(~x|(y|z))+9*(~x&(~y&z))
-1*((x&z)^~(y&~z))+2*(y&~(x&~z))+1*~(x|(y|z))+1*~(~x|(y|z))+11*~(~x|(~y|z))+12*(~x&(~y&z))+10*(~x&(y&z))+9*(x&(y&z)),11*(y^(~x&(y^z)))+2*~(x|(~y|z))
-3*(y^z)-1*(z^(x&y))+2*((x^y)&(x^z))-2*~(~x|(y|z))+4*~(~x|(~y|z))+4*(~x&(~y&z))-1*(~x&(y&z))+4*(x&(~y&z)),-3*~(x|(~y|z))
-2*(~x&(y^z))+1*~(~x|(y^z))-3*(y^~(~x&(~y&z)))+3*~(x|(y|z))+2*~(x|(~y|z))+2*~(~x|(y|z))+2*(~x&(~y&z))+3*(x&(~y&z)),1*(x&(y&z))
3*(z^(~x&(~y|z)))-6*~(x|(y^z))-2*(x^z)+3*~(x|(y|z))+2*~(~x|(y|z))+2*~(~x|(~y|z))+2*(~x&(~y&z))+8*(~x&(y&z)),3*(x&(~y&z))+3*(x&(y&z))
3*(~z&~(x^y))+2*((x&y)|~(y^z))+4*(y^~(~x&(y^z)))-9*~(x|(y|z))+2*~(x|(~y|z))+1*~(~x|(~y|z))-4*(x&(~y&z))-2*(x&(y&z)),6*(z^(x|(y|z)))+2*(~x&(y&z))
5*(~x&(y^z))+1*(x&(y^z))+1*((x&~y)|(x^(y^z)))-6*~(x|(~y|z))-1*~(~x|(y|z))-1*~(~x|(~y|z))-2*(x&(~y&z))-1*(x&(y&z)),6*(~x&(~y&z))
11*(y^(~x|(y|z)))+1*((y&~z)^(~x|(y^z)))-1*((x&~y)|~(x^(y^z)))+4*(z^(~x|(y&z)))-4*~(x|(~y|z))+1*~(~x|(y|z))+1*~(~x|(~y|z))-15*(x&(~y&z)),15*~(x|(y|z))+12*(~x&(~y&z))
-1*((x&z)^(x^(y&z)))+2*(~(x&~y)&~(y^z))+1*((y&~z)^(x|(y^z)))+1*~(~x|(~y|z))-1*(~x&(~y&z))-1*(~x&(y&z))-1*(x&(~y&z))-2*(x&(y&z)),2*~(x|(y|z))
1*(~(x&y)&(x^(y^z)))-11*~(x|(y|z))-1*~(x|(~y|z))+1*~(~x|(y|z))-9*~(~x|(~y|z))-12*(~x&(~y&z))-9*(~x&(y&z))+2*(x&(~y&z)),2*(x^(y&z))-11*(x^(~y|z))
3*(z&~(x&y))+3*(y^(x&z))+1*(y|~(x^z))-1*~(x|(y|z))-4*~(~x|(~y|z))-7*(~x&(y&z))-7*(x&(~y&z))-1*(x&(y&z)),3*(~x&(~y&z))+4*~(x|(~y|z))
5*(z^(~x|(y|z)))-5*((x&~y)|(y^z))-7*~(x|(y|z))+5*~(~x|(y|z))-2*~(~x|(~y|z))+5*(~x&(~y&z))-2*(~x&(y&z))+3*(x&(~y&z)),-2*~(x^(y^z))
3*(y^(~x|(y^z)))+5*(y^(x|(~y|z)))-7*(z|~(x^y))-1*((y&~z)^(x|(y^z)))-1*~(x|(y|z))-5*~(x|(~y|z))+7*~(~x|(~y|z))+5*(x&(y&z)),-7*(~x&(y&z))+4*~(~x|(y|z))
1*(z^~(~x|(~y&z)))-1*(y^~(x&(y^z)))-5*(y^~(~x&(y^z)))+5*~(x|(~y|z))+5*~(~x|(y|z))+6*(~x&(~y&z))-1*(~x&(y&z))+10*(x&(~y&z)),-12*~(x|(y|z))+6*(y^(~x|(y|z)))
-1*(~(x&y)&~(x^(y^z)))-6*(z^(x|~y))+10*~(x|(y|z))+9*~(~x|(y|z))+9*~(~x|(~y|z))+3*(~x&(~y&z))+4*(x&(~y&z))+3*(x&(y&z)),-10*(~x&(y&z))+3*(x|(~y|z))
-2*~z+2*((x&y)^~(x^(~y|z)))+1*(~x&(y|z))+2*~(x|(y|z))+5*~(x|(~y|z))-1*(~x&(~y&z))-1*(~x&(y&z))+4*(x&(~y&z)),6*((x^y)&~(x^z))
-7*(y^~(x&~z))+1*(z^(x|(y&z)))+7*(y^(x&z))+7*~(x|(y|z))-7*~(x|(~y|z))-1*~(~x|(y|z))-1*~(~x|(~y|z))-7*(~x&(y&z)),-6*(~x&(~y&z))
-11*(x^z)+5*(~x&(~y|z))-5*~(x|(y|z))-1*~(x|(~y|z))+10*~(~x|(y|z))+10*~(~x|(~y|z))+6*(~x&(y&z))-1*(x&(y&z)),-1*((x&y)|(x^(y^z)))-5*(~x&(~y&z))
-3*(~(x&~y)&(x^(y^z)))+11*((x^y)&(x^z))+1*(y|z)+2*~(x|(~y|z))-11*~(~x|(y|z))-12*(~x&(y&z))-1*(x&(~y&z))+2*(x&(y&z)),-2*(~x&(~y&z))+1*~(~x|(~y|z))
4*(~(x^y)&~(x^z))+4*(y|(x&z))-5*~(x|(y|z))-4*~(x|(~y|z))-5*~(~x|(~y|z))-4*(~x&(y&z))-5*(x&(~y&z))-8*(x&(y&z)),-1*((x|~y)&~(x^(y^z)))
5*((x|~y)&~(x^(y^z)))+7*(~(x|y)|~(x^(y^z)))+1*(y^(x&(y^z)))-12*~(x|(y|z))-1*~(x|(~y|z))-8*(~x&(y&z))-13*(x&(~y&z))-1*(x&(y&z)),12*~(~x|(~y|z))+7*(~x&(~y&z))
1*((x&y)^(x^(y&z)))-11*(z&~(x&y))-3*~(~x|(y|z))+2*~(~x|(~y|z))+9*(~x&(~y&z))+12*(~x&(y&z))+8*(x&(~y&z))-1*(x&(y&z)),-2*(y^(x|(~y|z)))+2*((y&~z)|~(x|(~y&z)))
-2*(y^~(~x&(y|z)))-1*(z|(x&y))+1*((x|~y)&~(x^(y^z)))+1*~(x|(y|z))+2*~(x|(~y|z))+2*~(~x|(y|z))+1*(~x&(~y&z))+3*(~x&(y&z))+1*(x&(y&z)),-2*(x&(~y&z))
5*(y^(~x&(y^z)))-11*(z^~(x&(~y&z)))+2*(~(x&y)&~(y^z))+9*~(x|(y|z))+11*~(x|(~y|z))+9*~(~x|(y|z))+6*~(~x|(~y|z))-5*(~x&(~y&z))-7*(~x&(y&z)),5*(x&(y&z))-11*(x&(~y&z))
4*~(x|y)-1*(~(x|y)|(x^(y^z)))+4*x+1*~(x|(~y|z))-3*~(~x|(y|z))-4*~(~x|(~y|z))-3*(~x&(~y&z))-4*(x&(~y&z))-3*(x&(y&z)),3*~(x|(y|z))
-11*~(x&(~y|z))+11*~(x|(y|z))+11*~(x|(~y|z))-7*~(~x|(y|z))+22*~(~x|(~y|z))+4*(~x&(~y&z))+11*(~x&(y&z))-7*(x&(~y&z))+11*(x&(y&z)),-7*(y^(x|(y|z)))+11*(x&y)
-3*(z^~(x|(y&z)))+2*((x&~y)|~(x^(y^z)))-5*~(x^(y&z))-2*~(~x&(y^z))+8*~(x|(y|z))+8*~(x|(~y|z))+5*(~x&(~y&z))+3*(x&(~y&z))+10*(x&(y&z)),-3*(~x&(y&z))
